Compound,Station
TL402_014600,EPL401
TL402_014700,EPL401
TL402_014701,EPL401
TL402_014702,EPL401
TL402_014703,EPL401
TL402_014704,EPL401
TL402_015200,EPL401
TL402_015220,EPL401
TL402_015250,EPL401
TL402_015300,EPL401
TL402_015700,EPL401
TL402_016000,EPL401
TL402_019800,EPL401
TL402_DIAG,EPL401
TL402_FU_RST,EPL401
TL402_P2P,EPL401
CL501_020000,EPL501
CL501_021990,EPL501
CL501_022100,EPL501
CL501_022300,EPL501
CL501_023310,EPL501
CL501_024200,EPL501
CL501_024600,EPL501
CL501_024705,EPL501
CL501_024706,EPL501
CL501_024800,EPL501
CL501_025200,EPL501
CL501_025220,EPL501
CL501_025250,EPL501
CL501_025500,EPL501
CL501_026000,EPL501
CL501_027000,EPL501
CL501_029000,EPL501
CL501_029200,EPL501
CL501_029600,EPL501
CL501_029700,EPL501
CL501_029800,EPL501
DEMIN_025220,EPL501
DEMIN_025250,EPL501
DRYRA_024600,EPL501
DRYRB_024600,EPL501
FLTR_025200,EPL501
GTPG_024705,EPL501
GTPG_024706,EPL501
MASTR_024600,EPL501
MCCL5_022100,EPL501
MCCL5_022300,EPL501
MCCL5_024600,EPL501
MCCL5_025200,EPL501
MCCL5_025220,EPL501
MCCL5_025250,EPL501
MCCL5_025500,EPL501
MCCL5_034600,EPL501
N2GEN_026000,EPL501
TL501_027001,EPL501
TL501_027002,EPL501
TL501_027003,EPL501
TL501_027005,EPL501
TL501_027300,EPL501
TL501_DIAG,EPL501
TL501_MD_BDI,EPL501
TL501_MD_GDE,EPL501
TL501_MD_GDH,EPL501
TL501_MD_GDS,EPL501
TL501_MD_HSP,EPL501
TL501_MD_TDL,EPL501
TL501_PAGA,EPL501
TL501_VT_BDI,EPL501
TL501_VT_GDE,EPL501
TL501_VT_GDH,EPL501
TL501_VT_GDS,EPL501
TL501_VT_TDL,EPL501
TL502_020000,EPL501
TL502_022100,EPL501
TL502_022300,EPL501
TL502_024200,EPL501
TL502_024600,EPL501
TL502_024700,EPL501
TL502_024705,EPL501
TL502_024706,EPL501
TL502_025200,EPL501
TL502_025220,EPL501
TL502_025500,EPL501
TL502_026000,EPL501
TL502_029800,EPL501
TL502_02ESD,EPL501
TL502_DIAG,EPL501
CL601_023300,EPL601
CL601_023305,EPL601
CL601_023310,EPL601
CL601_023320,EPL601
CL601_023340,EPL601
CL601_023405,EPL601
CL601_024205,EPL601
CL601_024605,EPL601
CL601_025200,EPL601
CL601_025225,EPL601
CL601_025250,EPL601
CL601_025255,EPL601
CL601_026005,EPL601
CL601_029700,EPL601
CL602_023306,EPL601
CL602_023406,EPL601
CL602_024206,EPL601
CL602_024606,EPL601
CL602_024800,EPL601
CL602_025226,EPL601
CL602_025256,EPL601
CL602_026006,EPL601
CL602_027000,EPL601
CL602_029700,EPL601
CL603_020000,EPL601
CL603_022003,EPL601
CL603_022103,EPL601
CL603_023300,EPL601
CL603_025250,EPL601
CL603_025400,EPL601
CL603_027000,EPL601
CL603_029700,EPL601
CL603_029800,EPL601
CL604_023315,EPL601
CL604_023316,EPL601
CL604_023323,EPL601
CL604_023333,EPL601
CL604_023343,EPL601
CL605_023315,EPL601
CL605_023316,EPL601
CL605_023323,EPL601
CL605_023343,EPL601
CL605_024203,EPL601
CL605_024603,EPL601
CL605_025223,EPL601
CL605_025253,EPL601
CL605_026003,EPL601
CL606_023405,EPL601
CL607_020000,EPL601
CL607_023406,EPL601
CL607_029000,EPL601
CL607_029200,EPL601
CL607_029600,EPL601
FGCS_022003,EPL601
MCCL6_022003,EPL601
MCCL6_022103,EPL601
MCCL6_023300,EPL601
MCCL6_023305,EPL601
MCCL6_023306,EPL601
MCCL6_023310,EPL601
MCCL6_023315,EPL601
MCCL6_023316,EPL601
MCCL6_023320,EPL601
MCCL6_023323,EPL601
MCCL6_023333,EPL601
MCCL6_023340,EPL601
MCCL6_023341,EPL601
MCCL6_023342,EPL601
MCCL6_023343,EPL601
MCCL6_023405,EPL601
MCCL6_023406,EPL601
MCCL6_025250,EPL601
SFU_023340,EPL601
SFU_023341,EPL601
SFU_023342,EPL601
SFU_025250,EPL601
SGCMP_023405,EPL601
SGCMP_023406,EPL601
SGHAC_023405,EPL601
SGHAC_023406,EPL601
SILICA_5,EPL601
SILICA_6,EPL601
SULR_023323,EPL601
TL601_023315,EPL601
TL601_023316,EPL601
TL601_023323,EPL601
TL601_023333,EPL601
TL601_023343,EPL601
TL601_027000,EPL601
TL601_027005,EPL601
TL601_027006,EPL601
TL601_027007,EPL601
TL601_027300,EPL601
TL601_DIAG,EPL601
TL601_PAGA,EPL601
TL601_VT_BDI,EPL601
TL601_VT_GDE,EPL601
TL601_VT_GDH,EPL601
TL601_VT_GDS,EPL601
TL601_VT_GDZ,EPL601
TL601_VT_TDL,EPL601
TL602_000_I2,EPL601
TL602_023300,EPL601
TL602_023305,EPL601
TL602_023310,EPL601
TL602_023320,EPL601
TL602_023340,EPL601
TL602_023405,EPL601
TL602_024200,EPL601
TL602_025225,EPL601
TL602_02ESD,EPL601
TL602_330_I3,EPL601
TL602_330_I4,EPL601
TL602_331_I2,EPL601
TL602_DIAG,EPL601
TL602_P2P,EPL601
TL603_000_I2,EPL601
TL603_023306,EPL601
TL603_023406,EPL601
TL603_024200,EPL601
TL603_025226,EPL601
TL603_02ESD,EPL601
TL603_330_I3,EPL601
TL603_330_I4,EPL601
TL603_DIAG,EPL601
TL603_P2P,EPL601
TL604_000_I2,EPL601
TL604_023405,EPL601
TL604_02ESD,EPL601
TL604_330_I3,EPL601
TL604_340_I3,EPL601
TL604_DIAG,EPL601
TL604_P2P,EPL601
TL605_000_I2,EPL601
TL605_023406,EPL601
TL605_02ESD,EPL601
TL605_330_I3,EPL601
TL605_340_I3,EPL601
TL605_DIAG,EPL601
TL605_P2P,EPL601
TL606_000_I2,EPL601
TL606_023315,EPL601
TL606_023316,EPL601
TL606_023323,EPL601
TL606_023325,EPL601
TL606_023333,EPL601
TL606_023343,EPL601
TL606_02ESD,EPL601
TL606_20_A,EPL601
TL606_DIAG,EPL601
TL606_P2P,EPL601
TL607_000_I0,EPL601
TL607_000_I2,EPL601
TL607_022000,EPL601
TL607_022003,EPL601
TL607_022100,EPL601
TL607_022103,EPL601
TL607_025250,EPL601
TL607_025400,EPL601
TL607_02ESD,EPL601
TL607_200_I3,EPL601
TL607_200_I4,EPL601
TL607_210_I3,EPL601
TL607_210_I4,EPL601
TL607_390_I4,EPL601
TL607_DIAG,EPL601
TL607_P2P,EPL601
TSL601_FGS,EPL601
CL701_015700,EPL701
CL701_023307,EPL701
CL701_023407,EPL701
CL701_024207,EPL701
CL701_024607,EPL701
CL701_024800,EPL701
CL701_025227,EPL701
CL701_025257,EPL701
CL701_026007,EPL701
CL701_029800,EPL701
CL702_023317,EPL701
CL702_023318,EPL701
CL702_023324,EPL701
CL702_023334,EPL701
CL702_023344,EPL701
CL703_023317,EPL701
CL703_023318,EPL701
CL703_023324,EPL701
CL703_023344,EPL701
CL703_024204,EPL701
CL703_024604,EPL701
CL703_025254,EPL701
CL703_026004,EPL701
CL704_020000,EPL701
CL704_023407,EPL701
CL704_027000,EPL701
CL704_029000,EPL701
CL704_029200,EPL701
CL704_029600,EPL701
CL704_029700,EPL701
CL704_029800,EPL701
MCCL7_023307,EPL701
MCCL7_023317,EPL701
MCCL7_023318,EPL701
MCCL7_023324,EPL701
MCCL7_023334,EPL701
MCCL7_023344,EPL701
MCCL7_023407,EPL701
SGCMP_023407,EPL701
SGHAC_023407,EPL701
SILICA_7,EPL701
SULR_023324,EPL701
TL701_023317,EPL701
TL701_023318,EPL701
TL701_023324,EPL701
TL701_023334,EPL701
TL701_023344,EPL701
TL701_027000,EPL701
TL701_027007,EPL701
TL701_027008,EPL701
TL701_027300,EPL701
TL701_DIAG,EPL701
TL701_PAGA,EPL701
TL701_VT_TDL,EPL701
TL702_000_I2,EPL701
TL702_015700,EPL701
TL702_023307,EPL701
TL702_023407,EPL701
TL702_024200,EPL701
TL702_025227,EPL701
TL702_02ESD,EPL701
TL702_330_I3,EPL701
TL702_330_I4,EPL701
TL702_DIAG,EPL701
TL702_P2P,EPL701
TL703_000_I2,EPL701
TL703_023407,EPL701
TL703_02ESD,EPL701
TL703_330_I3,EPL701
TL703_340_I3,EPL701
TL703_DIAG,EPL701
TL703_P2P,EPL701
TL704_000_I2,EPL701
TL704_023317,EPL701
TL704_023318,EPL701
TL704_023324,EPL701
TL704_023334,EPL701
TL704_023344,EPL701
TL704_20_A,EPL701
TL704_DIAG,EPL701
TL704_P2P,EPL701
CL901_013600,EPL901
CL901_020000,EPL901
CL901_023400,EPL901
CL901_023408,EPL901
CL901_024200,EPL901
CL901_024600,EPL901
CL901_025000,EPL901
CL901_026000,EPL901
CL901_027000,EPL901
CL901_029000,EPL901
CL901_029200,EPL901
CL901_029600,EPL901
CL901_029700,EPL901
CL901_029800,EPL901
DESL1_025000,EPL901
DESL2_025000,EPL901
DESL3_025000,EPL901
DESL4_025000,EPL901
DESL7_015200,EPL901
DESL8_025200,EPL901
DESL9_017300,EPL901
MCCL9_023408,EPL901
SGCMP_023408,EPL901
